@ DonDatos @ itauchile Interés de Depósitos a Plazo 1MM$: 30 días 0.41%;90 días 1.29%; 366 días 5.40% # RT @ Libre_Rico | La clave de tus sueños
No existe transparencia online de tasas de depósitos de bancos RT @ DonDatos @ bancodechile @ BancoBci @ santanderchile @ bbvachile @ itauchile
@ itauchile cuáles son las tasas de ahorro / deposito a plazo (DAP)? @ sbif LibreRico | La clave de tus sueños
@ DonDatos Por qué los bancos no publican tasas de depósitos? @ itauchile @ bancodechile @ santanderchile @ scotiabankchile @ bbvachile @ BancoBci
@ sbif Por qué los bancos chilenos no publican sus tasas de depósitos? @ bancodechile @ santanderchile @ scotiabankchile @ bbvachile @ itauchile
@ sbif Por qué los bancos chilenos no publican sus tasas de depósitos? @ bancodechile @ santanderchile @ scotiabankchile @ bbvachile @ itauchile
"@ itauchile la web se cae desde el lunes, para una empresa trabajar asi es imposible!! help..."
